Player,PayRnk,pay,college,team,pos,age,games,point,ThrP,ThrPA,eFG,FreeThrow,rebound,assist
Stephen Curry,1,34682550,University of Kentucky,GSW,PG,29,51,28.2,4.2,9.8,0.618,0.921,5.1,6.1
LeBron James,2,33285709,University of Notre Dame,CLE,PF,33,82,28.6,1.8,5,0.59,0.731,8.6,9.1
Paul Millsap,3,31269231,North Carolina State University,DEN,PF,32,38,17,1,3,0.509,0.696,6.4,2.8
Gordon Hayward,4,29727900,University of Kentucky,BOS,SF,27,1,7.3,0,1,0.5,0,1,0
Blake Griffin,5,29512900,Marquette University,DET,PF,28,58,19.6,1.9,5.6,0.493,0.785,7.4,5.8
Kyle Lowry,6,28703704,University of Kansas,TOR,PG,31,78,19.5,3.1,7.6,0.553,0.854,5.6,6.9
Russell Westbrook,7,28530608,Temple University,OKC,PG,29,80,24.7,1.2,4.1,0.477,0.737,10.1,10.3
Mike Conley,8,28530608,Muhlenberg College,MEM,PG,30,12,15.4,2,6.4,0.452,0.803,2.3,4.1
James Harden,9,28299399,University of Denver,HOU,SG,28,72,29.8,3.7,10,0.541,0.858,5.4,8.8
DeMar DeRozan,10,27739975,Western Michigan University,TOR,SG,28,80,21,1.1,3.6,0.488,0.825,3.9,5.2
Al Horford,11,27734405,St. John's University,BOS,C,31,72,17.6,1.3,3.1,0.553,0.783,7.4,4.7
Carmelo Anthony,12,26243760,Oklahoma State University,OKC,PF,33,78,12.7,2.2,6.1,0.476,0.767,5.8,1.3
Damian Lillard,13,26153057,Michigan State University,POR,PG,27,73,25.2,3.1,8.6,0.519,0.916,4.5,6.6
Jrue Holiday,14,25686667,Colgate University,NOP,SG,27,81,17.8,1.5,4.4,0.543,0.786,4.5,6
Kevin Durant,15,25000000,Louisiana State University,GSW,PF,29,68,26,2.5,6.1,0.586,0.889,6.8,5.4
Otto Porter,16,24773250,West Texas A&M University,WAS,SF,24,77,18.3,1.8,4.1,0.581,0.828,6.4,2
Chris Paul,17,24599495,Miami University,HOU,PG,32,58,24.4,2.5,6.5,0.55,0.919,5.4,7.9
Bradley Beal,18,23775506,Georgetown University,WAS,SG,24,82,18.4,2.4,6.5,0.527,0.791,4.4,4.5
Anthony Davis,19,23775506,Columbia University,NOP,PF,24,75,28.9,0.7,2.2,0.552,0.828,11.1,2.3
Andre Drummond,20,23775506,University of Illinois at Urbana-Champaign,DET,C,24,78,22.9,0,0.1,0.529,0.605,16,3
Hassan Whiteside,21,23775506,Seton Hall University,MIA,C,28,54,24.1,0,0,0.542,0.703,11.4,1
Dwight Howard,22,23500000,City College of San Francisco,CHO,C,32,81,20.5,0,0.1,0.556,0.574,12.5,1.3
Chandler Parsons,23,23112004,University of Minnesota,MEM,SF,29,36,13.6,1.4,3.4,0.571,0.63,2.5,1.9
Harrison Barnes,24,23112004,East Texas State University,DAL,PF,25,77,15.8,1.5,4.3,0.494,0.827,6.1,2
J.J. Redick,25,23000000,East Texas State University,PHI,SG,33,70,15.9,2.8,6.6,0.569,0.904,2.5,3
Marc Gasol,26,22642350,Georgetown University,MEM,C,33,73,17.4,1.5,4.4,0.473,0.834,8.1,4.2
Kevin Love,27,22642350,Louisiana State University,CLE,C,29,59,22.4,2.3,5.6,0.552,0.88,9.3,1.7
Brook Lopez,28,22642350,Canisius College,LAL,C,29,74,16.4,1.5,4.4,0.536,0.703,4,1.7
DeAndre Jordan,29,22642350,Rice University,LAC,C,29,77,20.2,0,0,0.645,0.58,15.2,1.5
Steven Adams,30,22471910,University of Wisconsin,OKC,C,24,76,20.6,0,0,0.629,0.559,9,1.2
Giannis Antetokounmpo,31,22471910,University of Louisville,MIL,PF,23,75,27.3,0.6,1.9,0.545,0.76,10,4.8
Nicolas Batum,32,22434783,University of Wisconsin,CHO,SG,29,64,14.4,1.4,4.3,0.486,0.831,4.8,5.5
Rudy Gobert,33,21974719,Georgetown University,UTA,C,25,56,20.7,0,0,0.622,0.682,10.7,1.4
LaMarcus Aldridge,34,21461010,University of Wyoming,SAS,C,32,75,25,0.4,1.2,0.52,0.837,8.5,2
Victor Oladipo,35,21000000,Western Michigan University,IND,SG,25,75,23.1,2.1,5.8,0.537,0.799,5.2,4.3
